offset,description,measurement_unit,data_type
0,._00_P_actual_R	Puissance en kW,,VIRGULE_FLOTTANTE
296,._11_Mot_temp	Méc. levage 1: température du moteur en degrés Celsius,,VIRGULE_FLOTTANTE
300,._11_P_required	Puissance nécessaire en charge à Vadmis.,,VIRGULE_FLOTTANTE
304,._11_M_required	Couple nécessaire en charge à Vadmis.,,VIRGULE_FLOTTANTE
308,._11_M_required_perc	Couple nécessaire en % en charge avec Vadmis.,,VIRGULE_FLOTTANTE
312,._11_n_allow_R	Mécanisme de levage: vitesse admissible en t/min,,VIRGULE_FLOTTANTE
316,._11_CMD_setp_TC_R	Valeur de consigne manipulateur pour levage,,VIRGULE_FLOTTANTE
326,._12_MS1_Y_R	Ordre: lire et adapter valeur de consigne,,VIRGULE_FLOTTANTE
330,._12_N_setpoint_R	Transmission de consigne à l'entraînement en %,,VIRGULE_FLOTTANTE
378,._12_H_height_actual_R	Valeur réelle de la hauteur de levage en m (codeur absolu),,VIRGULE_FLOTTANTE
390,._12_Press_brake_R	Pression de service pour le frein du méc. de fermeture,,VIRGULE_FLOTTANTE
446,._12_CMD_setp_TC_R	Valeur de consigne manipulateur pour fermeture,,VIRGULE_FLOTTANTE
464,._21_MS1_Y_R	Ordre: lire et adapter valeur de consigne,,VIRGULE_FLOTTANTE
472,._21_MS3_Y_R	Calculer val. consigne vitesse du méc. orientation suivant la portée,,VIRGULE_FLOTTANTE
476,._21_N_setpoint_R	Transmission de consigne à l'entraînement en %,,VIRGULE_FLOTTANTE
480,._21_Press_brake1_R	Pression de service du frein d’orientation 1,,VIRGULE_FLOTTANTE
484,._21_Press_brake2_R	Pression de service du frein d’orientation 2,,VIRGULE_FLOTTANTE
488,._21_Press_brake3_R	Pression de service du frein d’orientation 3,,VIRGULE_FLOTTANTE
496,._21_N_actual_R	Valeur réelle vitesse en t/min,,VIRGULE_FLOTTANTE
500,._21_I_actual_R	Valeur réelle du courant en A,,VIRGULE_FLOTTANTE
508,._21_U_actual_R	Valeur réelle de tension de moteur en V,,VIRGULE_FLOTTANTE
512,._21_Motor_temp_actual_R	Valeur réelle de température du moteur en °C,,VIRGULE_FLOTTANTE
516,._21_RAD_actual_R	Angle d'orientation superstructure châssis: valeur réelle,,VIRGULE_FLOTTANTE
520,._21_Ramp_actual_R	Temps d'accélération effectif en sec.,,VIRGULE_FLOTTANTE
528,._21_MS3_N_R	Valeur de consigne vitesse moteur,,VIRGULE_FLOTTANTE
532,._21_N_max_crane	Vitesse maxi de la grue en tr/min,,VIRGULE_FLOTTANTE
538,._21_V_max_actual	Vitesse maxi à la périphérie en m/min réduite,,VIRGULE_FLOTTANTE
542,._21_N_max_actual	Vitesse d'orientation maxi en tr/min réduite,,VIRGULE_FLOTTANTE
546,._21_Mot_1_temp	Méc.orient.1: température du moteur en degrés Celsius,,VIRGULE_FLOTTANTE
550,._21_Mot_2_temp	Méc.orient.2: température du moteur en degrés Celsius,,VIRGULE_FLOTTANTE
578,._21_CMD_setp_TC_R	Valeur de consigne manipulateur pour orientation,,VIRGULE_FLOTTANTE
592,._31_RAD_limit_POS_R	Relevage flèche: calculer la portée admissible,,VIRGULE_FLOTTANTE
596,._31_RAD_limit_NEG_R	Abaissement flèche: calculer la portée admissible,,VIRGULE_FLOTTANTE
620,._31_MS_M_Y_R	Réduction valeur de consigne de la soupape d’étranglement du méc. de volée,,VIRGULE_FLOTTANTE
640,._31_v_actual_R	Vitesse réelle du cylindre de variation de volée,,VIRGULE_FLOTTANTE
652,._31_RAD_actual_R	Portée en mètres (codeur absolu),,VIRGULE_FLOTTANTE
664,._31_CMD_setp_TC_R	Valeur de consigne manipulateur pour volée,,VIRGULE_FLOTTANTE
670,._31_pressure_rod	Pression méc. de volée côté fond,,VIRGULE_FLOTTANTE
674,._31_pressure_piston	Pression méc. de volée côté tige,,VIRGULE_FLOTTANTE
678,._41_Travel_setpoint_R	Translation: valeur de consigne,,VIRGULE_FLOTTANTE
682,._41_F_setpoint_R	Consigne de fréquence en Hz,,VIRGULE_FLOTTANTE
686,._41_N_actual_R	Valeur réelle vitesse en t/min,,VIRGULE_FLOTTANTE
694,._41_IO_actual_R	Valeur réelle du courant en A,,VIRGULE_FLOTTANTE
698,._41_UD_actual_R	Tension du circuit intermédiaire en V,,VIRGULE_FLOTTANTE
702,._41_UO_actual_R	Tension de sortie en V,,VIRGULE_FLOTTANTE
710,._41_MS1_X_R	Ordre: lire et adapter valeur de consigne,,VIRGULE_FLOTTANTE
714,._41_MS1_Y_R	Ordre: lire et adapter valeur de consigne,,VIRGULE_FLOTTANTE
718,._42_Travel_Setpoint_R	Valeur de consigne translation,,VIRGULE_FLOTTANTE
726,._42_Brake_Setpoint_R	Valeur de consigne freinage,,VIRGULE_FLOTTANTE
746,._42_MS32_Y_R	Activer pré-fin de course,,VIRGULE_FLOTTANTE
750,._42_MS13_X_R	Ordre: lire et adapter valeur de consigne,,VIRGULE_FLOTTANTE
796,._53_N_actual_R	Valeur réelle vitesse en t/min,,VIRGULE_FLOTTANTE
808,._53_Torq_from_Drive	Valeur réelle du couple venant de l'entraînement,,VIRGULE_FLOTTANTE
812,._53_I_actual	Courant apparent,,VIRGULE_FLOTTANTE
852,._53_Mot_temp	Température du moteur en degrés Celsius,,VIRGULE_FLOTTANTE
860,._61_B11_Angle_X_R	Calage: angle de l’axe X,,VIRGULE_FLOTTANTE
864,._61_B11_Angle_Y_R	Calage: angle de l’axe Y,,VIRGULE_FLOTTANTE
868,._61_B12_Angle_X_R	Calage: angle de l’axe X,,VIRGULE_FLOTTANTE
872,._61_B12_Angle_Y_R	Calage: angle de l’axe Y,,VIRGULE_FLOTTANTE
892,._61_Wind_actual_R	Vitesse du vent valeur réelle,,VIRGULE_FLOTTANTE
902,._63_Bruttoload_R	Charge brute en tonnes,,VIRGULE_FLOTTANTE
910,._63_Nettoload_R	Charge nette en tonnes,,VIRGULE_FLOTTANTE
914,._63_11_Load_DMS_1_R	Charge brute méc. levage 1 jauge DMS 1,,VIRGULE_FLOTTANTE
918,._63_11_Load_DMS_2_R	Charge brute méc. levage 1 jauge DMS 2,,VIRGULE_FLOTTANTE
922,._63_11_Diff_DMS_1_2	Charge brute méc. levage 1: différence jauges DMS 1 + 2,,VIRGULE_FLOTTANTE
926,._63_Perm_Bruttoload_R	Charge brute en tonnes admissible,,VIRGULE_FLOTTANTE
930,._63_Perm_Bruttoload_RX_R	Charge brute en tonnes en portée + x-mètres,,VIRGULE_FLOTTANTE
934,._63_RAD_Load_max_R	Portée: régime admissible en fonction de la charge,,VIRGULE_FLOTTANTE
938,._63_RAD_actual_R	Portée_en mètres,,VIRGULE_FLOTTANTE
942,._63_Perm_Nettoload_R	Charge nette admissible en tonnes,,VIRGULE_FLOTTANTE
946,._63_Bruttoload_relativ_R	Charge brute relative,,VIRGULE_FLOTTANTE
950,._63_Load_torque_R	Couple de charge en mètres x tonnes (portée x charge),,VIRGULE_FLOTTANTE
958,._63_11_Load_collective	Compteur spectre de charge du méc. levage,,VIRGULE_FLOTTANTE
970,._63_12_Diff_DMS_1_2	Charge brute méc. levage 2: différence jauges DMS 1 + 2,,VIRGULE_FLOTTANTE
1020,"._63_SLI_check_63_L_act	Indicateur CEC, mode test: charge actuelle",,VIRGULE_FLOTTANTE
1252,"._11_H_H_limit_POS_R1	Méc. levage 1: levage: hauteur de levage admiss., calcul 1",,VIRGULE_FLOTTANTE
1268,".RAD_Limit_POS_R1	Portée admissible relevage flèche sans limitation, calcul 1",,VIRGULE_FLOTTANTE
1276,"._11_H_H_limit_POS_R2	Méc. levage 1: levage: hauteur de levage admiss., calcul 2",,VIRGULE_FLOTTANTE
1292,".RAD_Limit_POS_R2	Portée admissible relevage flèche sans limitation, calcul 2",,VIRGULE_FLOTTANTE
1308,._62_B511_Press_1	Pression 1 côté fond avant gauche,,VIRGULE_FLOTTANTE
1312,._62_B512_Press_1	Pression 1 côté tige avant gauche,,VIRGULE_FLOTTANTE
1316,._62_B521_Press_1	Pression 1 côté fond avant droit,,VIRGULE_FLOTTANTE
1320,._62_B522_Press_1	Pression 1 côté tige avant droit,,VIRGULE_FLOTTANTE
1324,._62_B531_Press_1	Pression 1 côté fond arrière droite,,VIRGULE_FLOTTANTE
1328,._62_B532_Press_1	Pression 1 côté tige arrière droit,,VIRGULE_FLOTTANTE
1332,._62_B541_Press_1	Pression 1 côté fond arrière gauche,,VIRGULE_FLOTTANTE
1336,._62_B542_Press_1	Pression 1 côté tige arrière gauche,,VIRGULE_FLOTTANTE
1340,._62_B511_Press_2	Pression 2 côté fond avant gauche,,VIRGULE_FLOTTANTE
1344,._62_B512_Press_2	Pression 2 côté tige avant gauche,,VIRGULE_FLOTTANTE
1348,._62_B521_Press_2	Pression 2 côté fond avant droit,,VIRGULE_FLOTTANTE
1352,._62_B522_Press_2	Pression 2 côté tige avant droit,,VIRGULE_FLOTTANTE
1356,._62_B531_Press_2	Pression 2 côté fond arrière droite,,VIRGULE_FLOTTANTE
1360,._62_B532_Press_2	Pression 2 côté tige arrière droit,,VIRGULE_FLOTTANTE
1364,._62_B541_Press_2	Pression 2 côté fond arrière gauche,,VIRGULE_FLOTTANTE
1368,._62_B542_Press_2	Pression 2 côté tige arrière gauche,,VIRGULE_FLOTTANTE
